"1","BC Martigny","Martigny"
"2","BC Vollèges",NULL
"3","BC Swaff",NULL
"4","BC Ayent",NULL
"5","BC Brig","Brig"
"6","BC Nendaz",NULL
"7","BC Sierre",NULL
"8","BC Fully","Fully"
"9","BC Sion",NULL
"10","BC Granges",NULL
"11","BC St-Maurice",NULL
"12","BC Monthey",NULL
"13","BC Riddes",NULL
"14","BC Anniviers",NULL
"15","BC Champéry",NULL
"16","BC Collombey-Muraz",NULL
"17","BC Conthey",NULL
"18","BC Leytron",NULL
"19","BC Savièse",NULL
"21","BC Olympica-Brig",NULL
"22","BC Team Monthey",NULL
"23","BC Val-d'Illiez",NULL
